Respondent,Hobby,OpenSource,Student,Employment,FormalEducation,UndergradMajor,CompanySize,YearsCoding,YearsCodingProf,JobSatisfaction,ConvertedSalary,NumberMonitors,CheckInCode,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Age
857,Yes,Yes,"Yes, part-time",Employed full-time,Md,Hu,7,4,4,-1,,2,3,5,3,1,0,0,3
858,Yes,No,No,Employed full-time,Md,Ss,8,4,3,2,260000,2,3,4,2,2,0,2,3
859,Yes,No,No,Employed full-time,Bd,Cd,4,3,1,3,70000,3,5,3,3,1,3,0,2
860,Yes,No,No,Employed full-time,Bd,Hu,5,2,2,1,63000,2,5,3,3,0,0,1,3
861,Yes,No,No,Employed full-time,Bd,Cd,2,4,3,1,95000,2,5,3,2,1,2,3,3
862,No,No,No,Employed full-time,Bd,We,1,2,1,-2,42000,1,2,3,2,0,0,0,2
863,Yes,No,No,Employed full-time,Md,Cd,8,4,3,-3,158000,2,4,5,3,2,1,0,3
864,Yes,No,No,Employed full-time,Md,Ae,3,11,11,-2,110000,1,5,4,4,0,0,0,5
865,Yes,Yes,No,Employed full-time,Bd,Ss,6,1,,,24000,2,,1,3,1,1,2,2
866,Yes,Yes,No,Employed full-time,Nd,Cd,3,4,2,3,125000,3,3,4,3,1,0,1,2
867,Yes,No,No,Employed full-time,Bd,Cd,8,6,3,2,130000,3,3,2,2,2,1,2,3
868,No,No,No,Employed full-time,Bd,Cd,3,2,1,2,105000,1,5,4,3,2,1,2,2
869,Yes,Yes,No,Employed full-time,Bd,Cd,5,6,5,-1,230000,1,5,3,2,2,0,2,4
870,No,Yes,No,Employed full-time,Bd,Cd,3,6,5,2,105000,2,5,5,2,0,3,0,3
871,Yes,No,No,Employed full-time,Nd,Cd,5,7,7,-1,120000,2,3,4,3,2,0,0,4
872,Yes,Yes,No,Employed full-time,Bd,Ar,4,3,3,3,105000,1,5,3,3,0,0,0,3
873,Yes,Yes,No,Employed full-time,Md,Ns,6,5,4,-1,90000,2,4,2,2,0,2,2,4
874,Yes,No,No,Employed full-time,Md,Cd,8,2,2,2,97500,2,3,4,3,0,0,1,3
875,Yes,Yes,No,Employed full-time,Bd,Ae,5,7,5,2,120000,1,5,3,3,1,3,2,3
876,Yes,No,"Yes, full-time",Employed part-time,Nd,Ma,4,2,1,2,54500,2,3,3,3,1,2,1,2
877,Yes,Yes,No,Employed full-time,Bd,Cd,8,6,6,3,,1,5,3,2,2,0,0,4
878,Yes,No,No,Employed full-time,Bd,Cd,4,2,1,3,90000,3,5,3,3,0,0,2,3
879,Yes,No,No,Employed full-time,Nd,No,2,4,4,2,,4,5,3,3,1,3,0,4
880,Yes,No,No,Employed full-time,Bd,In,4,4,4,2,90000,2,3,0,2,2,0,2,4
881,Yes,Yes,No,Employed full-time,Odd,Ns,4,5,2,2,159600,1,5,4,3,1,1,1,3
882,Yes,Yes,No,Employed full-time,Md,Cd,8,4,3,2,3.00E+05,1,5,6,3,1,0,1,3
883,Yes,Yes,"Yes, part-time",Employed full-time,Bd,Cd,4,5,2,2,1620000,2,2,3,2,1,0,3,4
884,Yes,Yes,No,Employed full-time,Bd,Cd,4,11,4,2,40000,2,5,3,4,0,3,0,3
885,Yes,Yes,No,Employed full-time,Bd,In,3,3,2,-2,62000,3,2,3,3,1,0,2,3
886,Yes,Yes,"Yes, part-time",Employed full-time,Md,Ma,5,4,4,-2,70000,2,5,3,2,1,2,2,4
887,Yes,No,No,Employed full-time,Bd,Cd,3,4,1,2,110000,3,5,5,3,1,1,0,2
888,No,No,No,Employed full-time,Bd,Cd,8,4,2,1,69000,2,3,4,4,2,0,3,3
889,Yes,No,No,Employed full-time,Bd,Cd,3,3,1,-2,75000,4,4,4,4,0,0,0,2
890,Yes,No,"Yes, part-time",Employed full-time,Sd,,6,1,1,-2,20000,1,0,3,3,4,1,3,2
891,Yes,No,No,Employed full-time,Bd,Cd,3,5,4,3,155000,1,4,5,3,1,1,2,3
892,Yes,No,No,Employed full-time,Nd,Cd,4,3,2,2,90000,2,5,6,2,0,0,0,2
893,Yes,No,No,Employed full-time,Bd,Cd,5,11,11,3,1560000,2,3,2,2,0,0,0,6
894,Yes,No,No,Employed full-time,Nd,Hs,3,2,2,2,40000,3,5,3,3,1,1,2,3
895,No,No,No,Employed full-time,Bd,,3,5,5,-1,70000,2,5,2,3,2,0,2,3
896,Yes,No,"Yes, part-time",Employed full-time,Bd,In,8,3,2,3,2.00E+06,3,5,2,3,0,1,3,3
897,Yes,No,No,Employed full-time,Bd,Cd,6,2,1,3,70000,1,5,3,2,2,0,2,2
898,Yes,Yes,No,Employed full-time,Bd,Cd,6,5,4,2,115000,2,5,4,3,1,1,0,3
899,Yes,No,No,Employed full-time,Bd,Ae,4,3,1,1,1.00E+05,2,3,4,3,2,1,3,3
900,Yes,Yes,No,Employed full-time,Md,Ns,4,4,3,-1,250000,2,4,3,2,4,0,3,3
901,Yes,No,No,Employed full-time,Bd,Cd,3,3,2,3,70000,2,5,5,3,1,0,3,3
902,Yes,No,No,Employed full-time,Bd,,3,3,3,3,80000,2,5,3,3,2,0,1,3
903,Yes,No,No,Employed full-time,Bd,Hu,4,9,9,3,153000,2,4,2,3,0,0,3,5
904,No,No,No,Employed full-time,Bd,Cd,6,9,8,3,180000,1,3,3,2,1,0,0,4
905,Yes,No,No,Employed full-time,Bd,Cd,3,4,2,1,82500,2,3,4,3,1,0,0,3
906,Yes,No,No,Employed full-time,Bd,,3,4,4,3,85000,2,5,2,2,1,0,0,3
907,Yes,No,No,Employed full-time,Md,Cd,5,3,2,-1,102000,2,3,4,2,1,1,0,3
908,Yes,Yes,"Yes, full-time",Employed part-time,Md,Hu,1,3,,,34000,1,0,4,3,2,0,2,3
909,No,No,No,Employed full-time,Bd,Hu,1,2,2,2,1.00E+05,,,,,,,,
910,No,Yes,No,Employed full-time,Bd,Cd,6,3,3,2,115000,2,5,4,3,2,0,2,3
911,Yes,No,No,Employed full-time,Nd,Bu,5,3,2,3,97000,3,5,5,3,0,1,1,
912,Yes,No,No,Employed full-time,Bd,Cd,4,7,3,-2,95000,2,5,4,3,2,1,0,3
913,No,Yes,No,Employed full-time,Bd,Cd,8,3,2,1,1560000,3,5,4,3,3,0,1,3
914,Yes,No,No,Employed full-time,Bd,Cd,3,4,2,3,75000,3,5,0,3,1,1,2,3
915,Yes,No,No,Employed full-time,Bd,Cd,6,9,7,2,,2,4,4,2,1,0,2,4
916,Yes,No,No,Employed full-time,Bd,Ss,3,1,1,2,92500,2,5,3,3,0,0,3,3
917,Yes,Yes,No,Employed full-time,Bd,Ae,3,2,1,-1,72000,1,,3,2,1,0,0,2
918,Yes,Yes,No,Employed full-time,Bd,Cd,3,3,1,2,90000,2,5,4,3,1,0,1,3
919,Yes,Yes,No,Employed full-time,Nd,Cd,2,4,3,3,110000,1,5,5,3,1,0,0,3
920,No,No,No,Employed full-time,Md,Ns,8,2,2,2,93896,2,5,2,2,2,0,0,3
921,Yes,Yes,No,Employed full-time,Bd,Ae,3,5,2,-1,57600,3,3,3,4,1,3,1,2
922,Yes,No,No,Employed full-time,Ad,We,4,5,4,2,147000,2,5,5,3,1,1,1,4
923,Yes,Yes,"Yes, part-time",Employed full-time,Nd,Cd,4,2,2,3,40000,2,3,3,2,2,3,0,2
924,Yes,No,No,Employed full-time,Md,Cd,3,6,5,2,,1,5,4,3,2,1,2,4
925,Yes,Yes,No,Employed full-time,Md,Ma,5,4,3,-2,206000,2,5,3,1,1,0,2,3
926,Yes,Yes,No,Employed full-time,Bd,Cd,6,7,5,-2,130000,3,5,7,4,4,0,1,3
927,Yes,No,No,Employed full-time,Bd,Ma,4,2,2,2,72000,2,5,1,3,2,1,3,3
928,No,No,No,Employed full-time,Bd,Cd,3,5,4,2,84000,5,5,6,4,0,0,2,3
929,Yes,No,No,Employed full-time,Bd,Cd,8,8,6,-2,182000,3,5,4,3,0,1,1,4
930,Yes,Yes,No,Employed full-time,Bd,Cd,4,3,1,2,75000,3,5,4,4,1,1,0,2
931,Yes,No,No,Employed full-time,Bd,Cd,6,4,4,2,160000,3,3,2,2,2,0,1,3
932,Yes,Yes,"Yes, full-time",Employed full-time,Md,Ns,1,4,3,3,32000,3,5,6,3,1,1,1,3
933,Yes,Yes,No,Employed full-time,Bd,Cd,8,5,4,-3,129000,3,5,3,2,0,0,1,3
934,Yes,No,No,Employed full-time,Bd,Cd,3,2,1,-2,50000,2,4,3,3,2,1,1,2
935,Yes,Yes,No,Employed full-time,Bd,Cd,4,3,3,3,140000,2,5,3,3,2,0,0,3
936,Yes,No,No,Employed full-time,Md,Hu,4,7,2,3,116000,2,2,5,3,0,0,0,3
937,No,No,No,Employed full-time,Bd,Cd,8,3,2,2,102000,2,3,5,3,1,0,0,2
938,Yes,Yes,No,Employed full-time,Nd,Hu,2,6,4,2,160000,2,5,3,3,2,0,1,4
939,Yes,Yes,"Yes, full-time",Employed full-time,Md,Cd,4,2,1,,,3,5,2,3,1,1,1,2
940,Yes,Yes,No,Employed full-time,Md,Cd,5,9,5,3,270000,2,5,3,2,1,0,1,4
941,Yes,Yes,No,Employed full-time,Odd,Ma,8,11,8,2,145000,2,3,4,2,2,0,2,5
942,No,No,"Yes, full-time",Employed part-time,Nd,Cd,4,1,,,,2,5,3,4,0,0,0,2
943,Yes,Yes,No,Employed full-time,Nd,Cd,4,5,5,-3,153000,1,5,4,2,1,0,1,3
944,Yes,No,No,Employed full-time,Nd,Cd,3,3,1,2,40000,2,5,5,3,0,0,0,2
945,No,No,No,Employed full-time,Nd,Ar,5,8,8,2,154000,3,3,3,2,0,1,1,5
946,Yes,No,No,Employed full-time,Md,Cd,8,5,5,0,115000,2,3,2,3,1,0,0,4
947,Yes,Yes,No,Employed full-time,Bd,Cd,4,5,3,2,190000,1,4,4,3,1,1,1,3
948,Yes,Yes,No,Employed full-time,Bd,Bu,3,7,4,3,245000,1,5,4,4,1,2,0,3
949,Yes,Yes,No,Employed full-time,Md,Cd,5,6,4,3,135000,2,5,4,3,1,0,1,4
950,Yes,No,No,Employed full-time,Nd,Ns,3,1,1,0,75000,2,4,5,2,2,0,1,3
951,Yes,No,No,Employed full-time,Bd,Ma,4,4,4,-2,1.00E+05,2,5,4,3,0,0,0,3
952,Yes,No,No,Employed full-time,Bd,Cd,8,3,3,2,90000,2,5,2,3,1,0,3,3
953,Yes,No,No,Employed full-time,Bd,Ss,5,9,6,2,,2,5,3,3,0,0,1,4
954,No,No,No,Employed full-time,Bd,Cd,4,5,4,3,125000,3,5,4,3,0,1,1,4
955,No,No,No,Employed full-time,Bd,Cd,7,11,9,2,108000,3,3,3,2,0,2,0,7
956,No,No,No,Employed full-time,Bd,Cd,4,2,2,-3,70000,2,4,6,3,2,0,1,3
957,Yes,No,No,Employed full-time,Bd,Ar,8,2,2,3,2.00E+06,2,3,2,3,0,0,1,3
958,Yes,No,No,Employed full-time,Bd,Cd,8,5,2,3,1.00E+05,3,2,7,2,1,0,0,3
959,Yes,Yes,No,Employed full-time,Bd,Cd,6,7,5,-1,,1,5,6,3,1,0,2,
960,Yes,No,No,Employed full-time,Bd,Ns,3,1,1,3,105000,2,5,4,3,1,0,1,3
961,Yes,Yes,No,Employed full-time,Bd,Cd,6,2,2,2,1.00E+05,1,5,3,3,2,1,2,2
962,Yes,Yes,No,Employed full-time,Ad,Cd,1,9,7,2,140000,2,5,2,3,2,1,3,4
963,Yes,No,"Yes, full-time",Employed full-time,Bd,Ns,3,7,4,2,130000,2,3,3,2,1,1,1,3
964,No,Yes,No,Employed full-time,Bd,Cd,4,4,4,2,150000,2,5,4,3,0,0,1,3
965,Yes,No,"Yes, full-time",Employed full-time,Bd,,8,5,3,-2,90000,2,3,2,3,2,1,2,4
966,Yes,Yes,No,Employed full-time,Bd,Hu,8,7,5,-1,70000,2,5,2,3,2,0,2,4
967,Yes,No,No,Employed full-time,Nd,Hu,8,1,1,-1,95000,3,5,3,2,0,0,2,2
968,Yes,Yes,No,Employed full-time,Bd,Cd,4,4,2,-2,75000,2,5,4,3,1,1,2,3
969,Yes,No,No,Employed full-time,Bd,Cd,3,3,2,3,75000,2,3,5,3,1,0,2,2
970,Yes,Yes,No,Employed full-time,Bd,Cd,5,2,1,3,128000,2,5,4,3,0,0,2,2
971,Yes,No,"Yes, full-time",Employed full-time,Md,Cd,1,3,3,3,150000,4,5,2,3,2,0,1,3
972,Yes,Yes,No,Employed full-time,Bd,Ar,3,1,1,2,60900,2,5,4,3,0,3,3,3
973,Yes,No,No,Employed full-time,Md,Ns,4,7,7,-1,113000,2,3,3,2,2,0,3,5
974,Yes,Yes,No,Employed full-time,Md,Ma,4,7,4,2,70000,2,2,4,3,1,3,0,4
975,Yes,No,No,Employed full-time,Bd,Cd,5,6,1,3,,2,3,,,,,,
976,Yes,No,No,Employed full-time,Bd,Ss,2,2,2,1,85000,2,5,3,3,0,0,2,3
977,Yes,No,"Yes, part-time",Employed full-time,Nd,Cd,5,6,,,20000,1,2,4,2,1,1,1,4
978,Yes,Yes,No,Employed full-time,Odd,Ns,8,8,5,3,195000,1,5,3,2,1,0,0,4
979,Yes,No,No,Employed full-time,Sd,,4,2,1,-2,95000,2,5,2,2,0,1,0,2
980,Yes,No,No,Employed full-time,Bd,In,4,3,3,2,81000,3,5,6,4,1,1,0,3
981,Yes,No,No,Employed full-time,Bd,Cd,6,7,5,3,1.00E+05,2,5,4,3,2,0,1,3
982,Yes,No,No,Employed full-time,Bd,Cd,5,5,4,2,105000,2,3,2,3,2,0,0,4
983,Yes,Yes,No,Employed full-time,Bd,Ae,3,2,2,3,70000,4,5,3,3,1,0,3,3
984,Yes,Yes,No,Employed full-time,Md,Cd,5,2,2,3,2.00E+05,5,5,6,3,2,0,2,3
985,No,No,No,Employed full-time,Bd,In,2,2,1,1,28800,2,4,4,3,2,1,2,2
986,No,No,No,Employed full-time,Bd,Cd,2,5,3,-1,1.00E+05,1,5,5,4,1,0,3,3
987,Yes,Yes,"Yes, full-time",Employed full-time,Bd,Cd,2,4,2,2,105000,1,5,4,3,2,0,2,3
988,Yes,Yes,No,Employed full-time,Bd,Ns,5,4,4,3,155000,1,5,2,3,1,0,3,4
989,Yes,Yes,No,Employed full-time,Ad,Bu,8,1,1,1,40000,1,5,4,3,2,0,2,3
990,Yes,Yes,No,Employed full-time,Bd,Cd,5,3,1,2,111300,3,2,4,3,1,0,1,2
991,Yes,No,No,Employed full-time,Nd,Cd,2,5,2,2,45000,2,,3,3,1,1,3,3
992,Yes,Yes,No,Employed full-time,Bd,Bu,1,2,2,3,105000,2,5,3,3,1,0,2,4
993,Yes,No,No,Employed full-time,Bd,Ss,6,1,1,3,76000,1,5,4,2,1,0,2,3
994,Yes,Yes,No,Employed full-time,Bd,Cd,3,3,1,2,57000,4,5,4,2,2,0,3,2
995,No,No,No,Employed full-time,Bd,Cd,8,3,2,-1,64700,2,2,3,3,0,1,1,2
996,Yes,Yes,No,Employed full-time,Md,Hu,8,11,11,3,155000,2,5,5,3,2,3,2,5
997,Yes,Yes,No,Employed full-time,Bd,Ma,2,4,2,3,1920000,3,5,5,2,1,0,1,3
998,No,No,No,Employed full-time,Bd,Cd,3,3,1,2,65000,2,3,2,3,2,0,3,2
999,No,No,No,Employed full-time,Nd,Cd,7,4,3,-2,58000,3,3,3,3,0,1,0,3
1000,Yes,No,No,Employed full-time,Md,Cd,5,3,3,-3,74000,2,,1,2,2,0,2,5
1001,Yes,No,No,Employed full-time,Nd,We,1,4,3,2,70000,2,5,6,2,0,1,1,3
1002,Yes,Yes,No,Employed full-time,Bd,Cd,8,4,3,0,111000,4,5,4,2,2,0,2,3
1003,Yes,Yes,No,Employed full-time,Ad,Ar,2,6,5,2,960000,3,5,6,3,2,0,3,3
1004,Yes,No,No,Employed full-time,Md,Ma,3,4,2,3,120000,2,1,5,3,1,0,1,3
1005,Yes,No,No,Employed full-time,Md,Ae,3,4,4,3,1.00E+05,3,5,,,,,,
1006,Yes,No,No,Employed full-time,Md,Ae,3,2,2,3,1.00E+05,2,3,4,2,1,0,2,3
1007,Yes,Yes,"Yes, full-time",Employed full-time,Bd,Cd,4,3,2,0,83000,3,3,4,4,0,3,2,3
1008,Yes,No,No,Employed full-time,Md,Cd,5,5,2,0,77000,2,5,4,3,1,0,1,3
1009,Yes,Yes,No,Employed full-time,Nd,No,2,9,7,-3,80000,3,5,3,3,1,0,0,4
1010,Yes,No,No,Employed full-time,Md,Cd,8,3,2,3,115000,3,2,4,3,0,1,1,3
1011,No,No,No,Employed full-time,Bd,Hu,4,7,3,1,105000,2,5,3,3,0,1,0,4
1012,Yes,Yes,No,Employed full-time,Md,Cd,4,7,5,3,157000,2,5,3,3,1,0,1,4
1013,Yes,Yes,No,Employed full-time,Bd,Cd,3,5,4,3,115000,2,5,3,3,2,0,1,3
1014,Yes,Yes,No,Employed full-time,Md,Cd,7,3,1,2,160000,2,5,5,2,2,1,1,2
1015,Yes,Yes,"Yes, part-time",Employed full-time,Bd,Ae,7,3,1,2,79000,3,5,3,3,2,0,2,3
1016,Yes,Yes,No,Employed full-time,Nd,Cd,4,4,1,3,112500,3,3,3,4,0,2,0,2
1017,Yes,No,"Yes, full-time",Employed part-time,Nd,Cd,5,2,1,1,50000,2,2,5,3,0,2,2,2
1018,Yes,No,"Yes, part-time",Employed full-time,Bd,Cd,8,11,9,2,135000,2,5,2,4,2,1,1,5
1019,Yes,Yes,No,Employed full-time,Bd,Cd,6,4,3,-1,115000,3,5,3,2,2,0,0,3
1020,Yes,Yes,No,Employed full-time,Bd,Cd,3,5,2,3,145000,3,5,4,4,0,0,3,3
1021,Yes,Yes,No,Employed full-time,Bd,Cd,6,3,1,3,60000,2,5,3,2,2,0,2,2
1022,Yes,Yes,No,Employed full-time,Bd,In,3,4,4,3,105000,2,5,3,3,2,0,2,3
1023,Yes,Yes,No,Employed full-time,Nd,Cd,1,3,3,-2,60000,2,5,4,3,1,0,1,3
1024,Yes,Yes,No,Employed part-time,Bd,Cd,3,3,2,3,28800,2,5,6,2,2,0,3,2
1025,Yes,Yes,No,Employed full-time,Bd,Cd,3,8,6,-3,115000,2,5,3,2,0,0,3,4
1026,Yes,Yes,No,Employed part-time,Bd,Cd,2,5,2,2,28800,2,5,7,2,2,0,2,3
1027,Yes,Yes,No,Employed full-time,Bd,Cd,5,5,4,3,105000,3,5,3,3,1,0,1,3
1028,Yes,No,No,Employed full-time,Bd,Cd,6,4,4,2,125000,2,5,4,3,1,0,1,3
1029,Yes,Yes,No,Employed full-time,Bd,,5,6,3,2,80000,2,5,1,2,2,2,1,4
1030,No,No,No,Employed full-time,Bd,Cd,8,3,3,0,90000,2,4,5,3,0,0,0,3
1031,Yes,Yes,"Yes, full-time",Employed part-time,Nd,Cd,6,4,2,2,10000,2,5,4,3,1,0,0,2
1032,Yes,Yes,No,Employed full-time,Nd,No,4,3,3,2,75000,3,3,0,2,2,2,1,2
1033,Yes,No,"Yes, part-time",Employed full-time,Nd,Cd,1,3,2,2,40000,3,4,3,2,2,1,1,2
1034,Yes,Yes,No,Employed full-time,Bd,Cd,8,6,5,3,165000,2,5,3,2,2,0,2,3
1035,Yes,Yes,No,Employed full-time,Bd,Cd,7,7,4,3,140000,1,5,4,3,0,3,0,4
1036,Yes,Yes,No,Employed part-time,Pd,,3,3,1,,3000,2,2,3,1,2,0,3,
1037,Yes,Yes,No,Employed full-time,Bd,Cd,6,9,7,2,165000,3,5,2,2,0,0,0,4
1038,Yes,No,No,Employed full-time,Bd,Ae,5,3,3,2,85000,2,5,3,3,1,0,1,3
1039,Yes,Yes,No,Employed full-time,Nd,Cd,2,5,1,3,42000,3,5,4,3,1,3,0,2
1040,Yes,Yes,No,Employed full-time,Bd,Cd,8,4,2,2,120000,3,3,5,3,1,0,1,3
1041,Yes,Yes,No,Employed full-time,Bd,In,6,5,4,3,75000,3,5,3,3,2,2,1,3
1042,Yes,Yes,No,Employed full-time,Bd,Ae,1,7,7,2,115000,2,5,5,3,1,2,1,4
1043,Yes,Yes,No,Employed full-time,Bd,Cd,4,3,2,3,120000,3,5,4,2,1,0,0,3
1044,Yes,Yes,No,Employed full-time,Bd,Cd,6,8,4,1,220000,1,3,4,3,1,0,1,4
1045,Yes,Yes,No,Employed full-time,Bd,Cd,8,4,2,2,136000,2,3,6,3,1,1,0,2
1046,Yes,Yes,No,Employed full-time,Bd,Ma,4,5,4,1,138000,2,5,3,2,0,0,0,3
1047,Yes,Yes,No,Employed full-time,Bd,Cd,4,3,2,3,88000,2,5,4,4,1,1,1,3
1048,Yes,No,No,Employed full-time,Bd,Ae,5,11,11,2,92000,2,2,4,2,0,0,2,5
1049,Yes,No,No,Employed full-time,Odd,Ns,2,9,8,2,118000,2,3,2,2,0,0,0,4
1050,Yes,Yes,No,Employed full-time,Md,We,5,5,5,3,1.00E+05,2,5,3,3,2,0,1,3
1051,Yes,Yes,No,Employed full-time,Md,In,5,3,2,1,99500,2,5,3,2,1,0,1,3
1052,No,No,No,Employed full-time,Bd,In,6,2,2,-1,80000,2,5,4,3,1,2,0,2
1053,Yes,No,"Yes, full-time",Employed part-time,Nd,Cd,3,3,,,1800,2,,0,3,0,0,0,2
1054,No,Yes,No,Employed full-time,Md,Ae,4,6,5,3,1.00E+05,2,3,2,3,2,0,1,5
1055,Yes,Yes,No,Employed full-time,Bd,Cd,3,6,6,3,98500,3,5,2,3,1,0,2,4
1056,Yes,No,No,Employed full-time,Bd,Ns,6,2,2,3,1.00E+05,2,3,3,3,3,0,3,3
1057,Yes,Yes,No,Employed full-time,Bd,Cd,3,2,2,2,50000,3,5,5,3,0,1,0,2
1058,Yes,No,No,Employed full-time,Bd,Cd,2,3,2,2,75000,2,5,4,3,0,0,0,3
1059,No,No,No,Employed full-time,Bd,Cd,6,2,1,-2,50000,3,5,3,4,1,0,1,3
1060,Yes,Yes,No,Employed full-time,Nd,Ar,4,8,7,1,125000,3,5,3,2,1,0,1,4
1061,No,No,No,Employed full-time,Nd,Bu,8,11,11,3,130000,3,3,3,3,1,1,0,6
1062,Yes,No,No,Employed full-time,Bd,Cd,8,9,4,1,90000,2,1,2,2,2,1,2,5
1063,Yes,Yes,No,Employed full-time,Odd,Hu,3,3,2,-1,82000,2,5,2,3,1,1,2,4
1064,Yes,Yes,No,Employed full-time,Bd,Cd,5,3,1,3,78000,2,5,4,3,2,0,2,2
1065,Yes,No,No,Employed full-time,Bd,Ss,3,2,1,2,110000,1,5,4,2,2,0,1,3
1066,Yes,No,No,Employed full-time,Bd,Cd,8,2,2,1,107000,2,5,3,3,1,0,1,2
1067,Yes,No,"Yes, full-time",Employed part-time,Bd,Ma,3,2,1,2,,2,2,4,2,0,0,3,2
1068,Yes,No,No,Employed full-time,Nd,Cd,2,11,6,2,125000,1,3,2,3,1,0,2,6
1069,Yes,No,"Yes, full-time",Employed full-time,Bd,Cd,4,2,1,1,70000,3,5,2,2,1,0,0,3
1070,No,No,No,Employed full-time,Bd,Ae,6,5,3,1,112000,2,3,0,4,0,0,0,3
1071,Yes,No,No,Employed full-time,Sd,,8,4,4,2,115000,2,3,5,4,0,3,0,4
1072,Yes,No,No,Employed full-time,Bd,Cd,1,4,3,2,90000,2,5,5,3,1,1,0,3
1073,Yes,Yes,No,Employed full-time,Md,Ss,3,3,2,1,60000,2,2,3,3,2,0,2,3
1074,Yes,Yes,No,Employed full-time,Bd,Cd,3,8,3,3,70000,3,5,2,4,1,3,1,3
1075,Yes,No,"Yes, part-time",Employed full-time,Bd,Cd,1,6,3,1,36000,1,3,0,3,1,0,1,3
1076,No,Yes,No,Employed full-time,Md,Ae,6,4,3,2,87000,2,4,3,2,0,0,1,3
1077,Yes,No,No,Employed full-time,Nd,Cd,6,4,3,-1,150000,2,5,4,2,1,1,2,3
1078,Yes,No,No,Employed full-time,Odd,Ns,1,11,7,3,,2,5,2,2,2,2,2,4
1079,Yes,No,No,Employed full-time,Bd,Cd,7,2,1,2,1.00E+05,3,5,4,0,0,0,1,2
1080,Yes,No,No,Employed full-time,Nd,Cd,4,5,3,3,108000,4,5,5,3,2,1,2,3
1081,Yes,Yes,No,Employed full-time,Nd,Cd,8,5,3,-1,150000,3,5,5,4,2,1,2,3
1082,Yes,No,No,Employed full-time,Nd,Ns,4,5,5,-1,85000,3,5,5,4,0,2,0,4
1083,Yes,Yes,No,Employed full-time,Md,Ae,3,2,2,-1,75000,2,2,3,3,3,2,1,3
1084,No,No,No,Employed full-time,Odd,Ar,3,2,2,3,70000,2,5,3,2,2,0,2,4
1085,Yes,Yes,No,Employed full-time,Md,Cd,8,4,3,2,130000,3,5,5,3,1,0,2,3
1086,Yes,No,No,Employed full-time,Bd,Cd,2,4,2,1,86000,2,3,5,3,1,0,2,3
1087,Yes,Yes,No,Employed full-time,Nd,Cd,3,7,3,0,40000,2,5,3,4,1,0,0,3
1088,Yes,No,No,Employed full-time,Bd,Cd,8,5,3,3,125000,2,5,3,2,1,1,1,3
1089,Yes,Yes,"Yes, full-time",Employed part-time,Nd,Ae,5,2,,,5200,2,5,3,2,1,1,2,2
1090,Yes,Yes,No,Employed full-time,Md,Hu,6,2,2,3,110000,3,5,5,3,1,0,1,3
1091,Yes,Yes,No,Employed full-time,Bd,Cd,6,3,1,3,,3,5,5,3,1,1,1,2
1092,Yes,No,No,Employed full-time,Bd,Cd,1,4,1,3,42500,3,5,3,3,0,1,3,2
1093,Yes,Yes,No,Employed full-time,Nd,Cd,4,2,2,2,90000,2,5,4,2,1,0,1,2
1094,Yes,No,No,Employed full-time,Bd,Ae,3,2,2,-1,53500,2,4,6,4,0,0,0,2
1095,Yes,No,No,Employed full-time,Ad,Cd,3,2,1,2,16500,1,,3,2,0,1,1,2
1096,No,No,No,Employed full-time,Md,Cd,8,3,3,-1,96600,2,5,4,3,1,0,2,3
1097,No,No,No,Employed full-time,Bd,Hu,6,8,8,-2,105000,2,5,2,2,1,0,2,6
1098,Yes,No,No,Employed full-time,Bd,,3,4,4,3,120000,3,5,4,2,1,1,1,3
1099,No,No,No,Employed full-time,Sd,,2,9,10,-2,65000,2,5,5,3,2,1,0,5
1100,Yes,Yes,No,Employed full-time,Odd,Ss,4,4,4,3,150000,1,3,3,2,1,1,2,4
1101,Yes,Yes,"Yes, part-time",Employed full-time,Bd,In,5,2,2,2,12000,2,5,4,3,3,1,0,3
1102,Yes,Yes,No,Employed full-time,Bd,Bu,8,7,7,3,127000,1,5,3,3,2,1,3,4
1103,Yes,Yes,No,Employed full-time,Nd,Cd,2,11,9,3,70000,1,4,4,3,0,0,0,5
1104,Yes,No,No,Employed full-time,Bd,Ae,5,1,1,2,1.00E+05,1,3,4,2,2,0,1,3
1105,No,Yes,No,Employed full-time,Bd,Cd,8,7,5,2,,1,5,3,2,1,0,0,4
1106,Yes,Yes,No,Employed full-time,Md,Cd,5,6,3,1,215000,2,3,4,3,1,1,1,3
1107,Yes,No,No,Employed full-time,Md,Hu,4,1,1,3,85000,3,5,6,3,1,2,1,3
1108,Yes,Yes,No,Employed full-time,Odd,Cd,8,11,7,-2,260000,3,3,5,3,2,1,1,5
1109,Yes,Yes,No,Employed full-time,Md,Ar,4,2,2,2,112000,1,5,3,3,1,0,1,3
1110,Yes,Yes,No,Employed full-time,Ad,Cd,1,2,1,0,41000,4,4,4,3,1,1,1,3
1111,Yes,Yes,No,Employed full-time,Bd,Cd,6,5,3,2,19200,1,5,4,3,0,1,1,2
1112,Yes,Yes,No,Employed full-time,Bd,Ma,3,4,1,-1,62000,3,3,2,2,2,1,0,3
1113,Yes,Yes,No,Employed full-time,Bd,Cd,2,11,11,3,130000,5,5,3,3,1,0,0,6
1114,Yes,No,No,Employed full-time,Bd,In,4,6,5,-2,98000,2,4,3,2,0,0,0,4
