Respondent,Hobby,OpenSource,Student,Employment,FormalEducation,UndergradMajor,CompanySize,YearsCoding,YearsCodingProf,JobSatisfaction,ConvertedSalary,NumberMonitors,CheckInCode,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Age
59,Yes,No,No,Employed full-time,Md,Cd,2,6,6,-1,96000,1,3,2,2,0,0,0,4
60,Yes,Yes,No,Employed full-time,Bd,Cd,3,5,3,2,94600,3,5,3,3,0,1,0,3
61,Yes,No,No,Employed full-time,Bd,Cd,2,3,1,3,105000,1,5,5,3,1,3,1,2
62,Yes,Yes,No,Employed full-time,Odd,Ae,2,3,2,-1,80000,2,5,3,3,1,0,2,3
63,Yes,No,No,Employed full-time,Bd,Cd,8,5,3,2,106000,2,5,4,3,0,0,0,3
64,Yes,No,No,Employed full-time,Bd,Ss,2,2,2,1,2.00E+06,3,1,4,4,0,3,2,3
65,No,Yes,No,Employed full-time,Bd,Cd,6,10,9,2,90000,2,5,2,3,2,0,0,5
66,Yes,No,No,Employed full-time,Md,Ae,3,3,2,3,91000,2,2,4,3,0,1,0,3
67,Yes,Yes,No,Employed full-time,Nd,Cd,3,7,7,3,112000,3,5,3,4,1,0,1,4
68,Yes,Yes,No,Employed full-time,Md,Cd,8,7,7,1,120000,2,5,2,4,2,0,1,4
69,Yes,Yes,No,Employed full-time,Bd,Ma,6,11,7,3,130000,3,5,3,3,1,0,3,5
70,Yes,Yes,No,Employed full-time,Nd,Cd,4,8,8,0,78000,3,5,3,3,1,0,1,4
71,Yes,No,"Yes, full-time",Employed part-time,Nd,Cd,1,2,1,2,,2,2,3,3,0,0,1,2
72,Yes,No,No,Employed full-time,Bd,In,6,5,3,2,55000,,,,,,,,
73,Yes,No,No,Employed full-time,Bd,In,6,4,4,0,75000,2,5,6,3,1,3,1,3
74,No,No,No,Employed full-time,Bd,Cd,4,4,2,2,70000,1,5,2,2,1,0,3,3
75,Yes,Yes,"Yes, full-time",Employed part-time,Ad,We,8,3,2,1,,2,4,3,3,3,3,1,2
76,Yes,No,No,Employed full-time,Bd,Cd,4,4,1,2,58000,3,5,3,3,1,1,1,2
77,Yes,Yes,No,Employed full-time,Odd,Cd,8,5,2,-2,280000,2,5,6,3,4,0,3,3
78,Yes,No,No,Employed full-time,Md,In,3,2,2,3,53000,1,3,2,2,2,0,1,3
